,time_complete
0A,0.46987295150756836
0B,0.033971309661865234
0C,0.03404593467712402
1A,4.618185997009277
1B,6.417680978775024
1C,9.482923030853271
1D,0.20134758949279785
1E,1.1762275695800781
2A,43.08717083930969
2B,0.36061811447143555
2C,5.330108165740967
2D,1.5203440189361572
3A,1.8457543849945068
3B,0.940061092376709
3C,0.3650693893432617
3D,5.408545255661011
4A,1.862074851989746
4B,68.03834271430969
4C,35.025784492492676
5A,3.895435094833374
5B,0.029588937759399414
5C,1.2048566341400146
5D1,33.01259469985962
5D2,85.6390073299408
5D3,46.68508219718933
5E,6.313744068145752
5F,1.3745412826538086
6A,4.2036919593811035
6B,2.1864728927612305
6C,2.1864728927612305
6D,41.47582697868347
6E,31.197820901870728
6F,6.7503557205200195
7A,1.2372090816497803
7B,9.42180061340332
7C,6.47231388092041
7D,8.00609302520752
8A,4.818037509918213
